Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,20,Denied,0
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,400,Denied,0
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),300,Settled,225
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,"Cell Phones, Other",150,Settled,50
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,10.39,Approved,10.39
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,175,Settled,162
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,200,Approved,200
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,600,Approved,600
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Other,60.49,Approved,60.49
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,259.99,Settled,187.67
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,285,Settled,50
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Other,30,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,32.58,Approved,32.58
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Computer - Laptop,3516,Denied,0
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,42,Approved,42
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Theft,Checked Baggage,DVD/CD Players,89.98,Approved,89.98
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),45.99,Approved,45.99
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Property Damage,Checked Baggage,Other,148.2,Approved,148.2
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,10,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,17.87,Approved,17.87
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,47.69,Approved,47.69
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),42.99,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Other,4768.42,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,45.69,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,14.36,Approved,14.36
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,32.73,Approved,32.73
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",90,Approved,100
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),259,Approved,259
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,223.74,Settled,190.23
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Medicines,204.99,Approved,204.99
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),42.31,Approved,42.31
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checkpoint,"Clothing - Shoes, belts, accessories, etc.",395,Approved,395
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,520,Denied,0
ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Property Damage,Checked Baggage,Other,134.44,Denied,0
